Move In,In Time,Move Out,Out Time,Stay Duration
1,2025-06-11 00:00,1,2025-06-11 00:00,3.79
2,2025-06-11 00:00,2,2025-06-11 00:00,2.91
3,2025-06-11 00:01,3,2025-06-11 00:01,4.8
4,2025-06-11 00:01,4,2025-06-11 00:01,2.74
5,2025-06-11 00:02,5,2025-06-11 00:02,1.94
6,2025-06-11 00:02,6,2025-06-11 00:02,4.71
7,2025-06-11 00:02,7,2025-06-11 00:02,4.75
8,2025-06-11 00:03,8,2025-06-11 00:03,4.68
9,2025-06-11 00:04,9,2025-06-11 00:04,2.73
10,2025-06-11 00:04,10,2025-06-11 00:04,4.57
11,2025-06-11 00:04,11,2025-06-11 00:04,4.3
12,2025-06-11 00:06,12,2025-06-11 00:06,1.45
13,2025-06-11 00:06,13,2025-06-11 00:06,4.93
14,2025-06-11 00:07,14,2025-06-11 00:07,1.79
15,2025-06-11 00:09,15,2025-06-11 00:09,4.77
16,2025-06-11 00:09,16,2025-06-11 00:09,4.37
17,2025-06-11 00:09,17,2025-06-11 00:09,3.31
18,2025-06-11 00:10,18,2025-06-11 00:10,3.4
19,2025-06-11 00:10,19,2025-06-11 00:10,3.43
20,2025-06-11 00:11,20,2025-06-11 00:11,4.3
21,2025-06-11 00:13,21,2025-06-11 00:13,4.46
22,2025-06-11 00:13,22,2025-06-11 00:13,2.94
23,2025-06-11 00:13,23,2025-06-11 00:13,1.26
24,2025-06-11 00:15,24,2025-06-11 00:15,3.69
25,2025-06-11 00:15,25,2025-06-11 00:15,1.54
26,2025-06-11 00:15,26,2025-06-11 00:15,4.37
27,2025-06-11 00:16,27,2025-06-11 00:16,4.7
28,2025-06-11 00:18,28,2025-06-11 00:18,1.94
29,2025-06-11 00:19,29,2025-06-11 00:19,1.68
30,2025-06-11 00:20,30,2025-06-11 00:20,3.29
31,2025-06-11 00:20,31,2025-06-11 00:20,1.32
32,2025-06-11 00:20,32,2025-06-11 00:20,1.85
33,2025-06-11 00:21,33,2025-06-11 00:21,4.07
34,2025-06-11 00:21,34,2025-06-11 00:21,3.4
35,2025-06-11 00:21,35,2025-06-11 00:21,1.63
36,2025-06-11 00:22,36,2025-06-11 00:22,1.12
37,2025-06-11 00:22,37,2025-06-11 00:22,3.62
38,2025-06-11 00:22,38,2025-06-11 00:22,4.62
39,2025-06-11 00:24,39,2025-06-11 00:24,3.32
40,2025-06-11 00:24,40,2025-06-11 00:24,2.35
